linter,tags
absolute_path_linter,robustness best_practices configurable
assignment_linter,style consistency default
backport_linter,robustness configurable package_development
closed_curly_linter,style readability default configurable
commas_linter,style readability default
commented_code_linter,style readability best_practices default
cyclocomp_linter,style readability best_practices default configurable
equals_na_linter,robustness correctness common_mistakes default
expect_null_linter,package_development best_practices
extraction_operator_linter,style best_practices
function_left_parentheses_linter,style readability default
implicit_integer_linter,style consistency best_practices
infix_spaces_linter,style readability default
line_length_linter,style readability default configurable
no_tab_linter,style consistency default
nonportable_path_linter,robustness best_practices configurable
object_length_linter,style readability default configurable
object_name_linter,style consistency default configurable
object_usage_linter,style readability correctness default
open_curly_linter,style readability default configurable
package_hooks_linter,style correctness package_development
paren_brace_linter,style readability default
pipe_continuation_linter,style readability default
semicolon_terminator_linter,style readability default configurable
seq_linter,robustness efficiency consistency best_practices default
single_quotes_linter,style consistency readability default
spaces_inside_linter,style readability default
spaces_left_parentheses_linter,style readability default
T_and_F_symbol_linter,style readability robustness consistency best_practices default
todo_comment_linter,style configurable
trailing_blank_lines_linter,style default
trailing_whitespace_linter,style default
undesirable_function_linter,style efficiency configurable robustness best_practices
undesirable_operator_linter,style efficiency configurable robustness best_practices
unneeded_concatenation_linter,style readability efficiency
duplicate_argument_linter,correctness common_mistakes configurable
missing_argument_linter,correctness common_mistakes configurable
missing_package_linter,robustness common_mistakes
namespace_linter,correctness robustness configurable
paren_body_linter,style readability default
pipe_call_linter,style readability
sprintf_linter,correctness common_mistakes
